Rent Description,No. of Beds,No. of Baths,Price/Month,Region
NEW EXEC 2 BED APT-10 MTHS WATER & ECG METER AT SOUTH MCCARTHY TETEGU,2,1,1000,Greater Accra
NEWLY BUILT 2-BED APARTMENT @ ASOFAN,2,3,1600,Greater Accra
Marvelous And Moderate 2bedroom With 2washrooms 4rent @spintex,2,2,700,Greater Accra
"Exquisite 3bedroom Apartment With A/C,wardrobes Etc 4rent Spintex",3,4,2500,Greater Accra
Modern Chamber&hall Apartment 4rent @spintex,1,1,1500,Greater Accra
Marvelous 2bedroom Apartment For Rent @spintex,2,2,800,Greater Accra
Gated Singleroom Self Contained For Rent @spintex 1year,1,1,300,Greater Accra
West Trrassacco 2bed fully furnished,2,1,5200,Greater Accra
Single Room Self Contained Pantang,1,1,500,Greater Accra
CHAMBER AND HALL SELF-CONTAINED FOR RENT@MADINA ESTATES,1,1,500,Greater Accra
CHAMBER AND HALL SELF-CONTAINED FOR RENT@MADINA POST OFFICE,1,1,500,Greater Accra
2 bedroom self-contained Madina,2,1,1000,Greater Accra
3bedroom Penthouse For Rent At Dzorwulu,3,4,2700,Greater Accra
NEW 2BEDROOM APARTMENT @ EAST LEGON ( AMERICAN HOUSE ) RENTING,2,1,1300,Greater Accra
Executive chamber and hall self contain for rent Lakeside,1,1,900,Greater Accra
SINGLE ROOM SELF-CONTAINED APARTMENT FOR RENT@MADINA ESTATES,1,1,350,Greater Accra
Executive 4 bed self contain rent at Adenta,4,4,1500,Greater Accra
Apartment For Rent Winneba,2,2,800,Central
Fabulous wall n gated chamber Hal selfcontain 4rent spintex,1,1,400,Greater Accra
EXC 2 BEDROOM APT @LAKESIDE,2,2,2000,Greater Accra
Luxurious 2bedroom Apartment For Rent @Lashibi,2,2,1700,Greater Accra
Newly built 2 bedrooms apt at Kumasi City Mall - Asokwa,2,1,1000,Ashanti
2 Bedrooms Flat @ Gyenyase,2,1,1000,Ashanti
Newly built 2 bedroom apartment for rent,2,2,1000,Greater Accra
Chamber and hall self contained for rent Ashieyie,1,1,350,Greater Accra
ONE SPACIOUS BEDROOM FOR RENT TAKORADI,1,1,200,Western
newly built single room self contained KWABENYA ACP,1,1,500,Greater Accra
